                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.91353,                 0.7965,                 1.4053,                0.76045,                0.76947,                0.80728,                0.58905,                 1.0793,                  1.075,                 1.4989,               0.003169,               0.003169,               0.003169
                     71,                0.90668,                0.78923,                 1.3973,                 0.7612,                0.76651,                0.80732,                0.58957,                 1.0779,                 1.0723,                 1.4972,                0.00307,                0.00307,                0.00307
                     72,                0.90142,                0.76977,                 1.3857,                0.76442,                0.76457,                0.80828,                0.59024,                  1.077,                 1.0689,                 1.4958,               0.002971,               0.002971,               0.002971
                     73,                0.89328,                0.77365,                 1.3828,                0.76677,                 0.7636,                0.80874,                0.59024,                 1.0758,                 1.0674,                  1.494,               0.002872,               0.002872,               0.002872
                     74,                0.89249,                0.77014,                 1.3853,                0.77152,                0.76245,                  0.809,                0.59178,                 1.0748,                 1.0658,                 1.4927,               0.002773,               0.002773,               0.002773
                     75,                0.88386,                0.76073,                 1.3834,                0.77216,                0.76259,                 0.8097,                0.59151,                 1.0738,                 1.0632,                 1.4918,               0.002674,               0.002674,               0.002674
                     76,                 0.8857,                0.75657,                  1.377,                0.77269,                0.76337,                0.81025,                0.59291,                 1.0726,                 1.0623,                 1.4904,               0.002575,               0.002575,               0.002575
                     77,                0.88068,                0.74674,                 1.3711,                0.77042,                0.76756,                 0.8107,                0.59396,                 1.0722,                 1.0612,                 1.4897,               0.002476,               0.002476,               0.002476
                     78,                0.86515,                0.73619,                 1.3638,                0.76786,                0.77091,                0.81194,                0.59446,                 1.0715,                   1.06,                 1.4887,               0.002377,               0.002377,               0.002377
                     79,                0.86137,                0.73054,                 1.3593,                 0.7678,                0.77255,                0.81269,                0.59571,                 1.0705,                 1.0582,                 1.4876,               0.002278,               0.002278,               0.002278
                     80,                0.86028,                 0.7218,                 1.3594,                 0.7679,                0.77333,                0.81327,                0.59714,                 1.0695,                 1.0564,                 1.4863,               0.002179,               0.002179,               0.002179
                     81,                0.85173,                0.71954,                 1.3543,                0.76827,                0.77491,                0.81397,                0.59778,                 1.0686,                 1.0543,                 1.4854,                0.00208,                0.00208,                0.00208
                     82,                0.85057,                0.71563,                 1.3519,                0.76722,                0.77788,                0.81488,                0.59926,                 1.0675,                  1.052,                 1.4842,               0.001981,               0.001981,               0.001981
                     83,                0.84252,                0.69933,                 1.3475,                0.77541,                0.77166,                0.81576,                0.59974,                 1.0665,                 1.0497,                 1.4832,               0.001882,               0.001882,               0.001882
                     84,                 0.8347,                 0.6914,                 1.3376,                0.77744,                0.76964,                0.81645,                 0.6002,                 1.0658,                 1.0483,                 1.4824,               0.001783,               0.001783,               0.001783
                     85,                0.83558,                0.68617,                 1.3381,                0.77897,                0.76993,                 0.8171,                 0.6017,                  1.065,                 1.0466,                 1.4813,               0.001684,               0.001684,               0.001684
                     86,                0.82624,                0.68111,                 1.3269,                 0.7798,                0.76999,                0.81761,                0.60203,                 1.0644,                 1.0456,                 1.4802,               0.001585,               0.001585,               0.001585
                     87,                0.82295,                0.67634,                 1.3249,                0.77447,                0.77512,                0.81841,                0.60295,                 1.0636,                 1.0439,                 1.4794,               0.001486,               0.001486,               0.001486
                     88,                0.81657,                0.67196,                 1.3204,                0.77441,                0.77546,                0.81905,                0.60336,                 1.0631,                 1.0426,                 1.4784,               0.001387,               0.001387,               0.001387
                     89,                0.80979,                0.66045,                 1.3178,                0.77526,                0.77464,                0.81865,                0.60454,                 1.0621,                 1.0409,                 1.4773,               0.001288,               0.001288,               0.001288
                     90,                0.79683,                 0.6518,                 1.3087,                0.77501,                0.77505,                0.81886,                0.60413,                 1.0617,                 1.0398,                 1.4765,               0.001189,               0.001189,               0.001189
                     91,                0.76603,                0.49142,                 1.2894,                0.77704,                0.77437,                0.81921,                0.60486,                 1.0617,                 1.0384,                 1.4764,                0.00109,                0.00109,                0.00109
                     92,                0.75137,                0.47821,                 1.2773,                0.77803,                0.77424,                0.81934,                0.60564,                 1.0608,                  1.038,                 1.4755,               0.000991,               0.000991,               0.000991
                     93,                0.73824,                 0.4688,                 1.2653,                0.77846,                0.77405,                  0.819,                0.60619,                 1.0605,                 1.0374,                 1.4751,               0.000892,               0.000892,               0.000892
                     94,                0.72548,                0.45762,                 1.2532,                0.77511,                0.77838,                0.81912,                0.60684,                 1.0599,                 1.0385,                 1.4747,               0.000793,               0.000793,               0.000793
                     95,                0.71619,                0.44964,                 1.2491,                0.77276,                0.78196,                0.81974,                  0.607,                 1.0595,                 1.0381,                 1.4742,               0.000694,               0.000694,               0.000694
                     96,                 0.7074,                0.44224,                 1.2457,                0.77435,                0.77718,                0.81847,                0.60814,                 1.0593,                 1.0385,                 1.4741,               0.000595,               0.000595,               0.000595
                     97,                0.69697,                0.43293,                 1.2335,                0.77219,                0.78096,                0.81888,                0.60872,                 1.0585,                 1.0385,                 1.4734,               0.000496,               0.000496,               0.000496
                     98,                0.68978,                0.42631,                 1.2279,                0.77321,                0.78231,                0.81948,                0.60911,                 1.0582,                 1.0387,                 1.4734,               0.000397,               0.000397,               0.000397
                     99,                0.68065,                 0.4245,                 1.2221,                 0.7849,                0.77347,                0.81986,                0.61011,                 1.0578,                 1.0386,                 1.4733,               0.000298,               0.000298,               0.000298
                    100,                0.67636,                0.41708,                 1.2171,                0.78618,                0.77347,                0.82078,                0.61104,                 1.0578,                 1.0377,                 1.4734,               0.000199,               0.000199,               0.000199
